카드_ID,카드_이름_ID,//카드_이름,카드_타입,카드_레벨1_ID,카드_레벨2_ID,카드_레벨3_ID,확률,카드_설명_ID,//설명,경로_ID,//테이블_번호,//순서2
081037,80110418,탄성 유지,1,26009,0,0,0.0196078431,80120541,투사체가 적들 사이를 4회 튕기며 연쇄 공격합니다,840105,08,037
081038,80110419,고속 투사체,1,26010,0,0,0.0196078431,80120542,투사체의 속도와 데미지가 대폭 증가합니다,840106,08,038
081039,80110420,마력 증폭,1,26011,0,0,0.0196078431,80120543,마력을 증폭시켜 공격 스킬의 데미지가 25% 증가합니다,840107,08,039
081040,80110421,신속 시전,1,26012,0,0,0.0196078431,80120544,시전 속도를 높여 쿨다운 20%와 시전시간 30% 감소,840108,08,040
081041,80110422,치명적 일격,1,26013,0,0,0.0196078431,80120545,급소를 노려 치명타 데미지가 35% 증가합니다,840109,08,041
081042,80110423,효과 지속 증가,1,26014,0,0,0.0196078431,80120546,버프와 디버프의 지속시간이 80% 증가합니다,840110,08,042
081043,80110424,효과량 증가,1,26015,0,0,0.0196078431,80120547,버프의 효과량이 50% 증가합니다,840111,08,043
081044,80110425,맹독,1,26016,0,0,0.0196078431,80120548,독성을 강화하여 DOT 효과의 지속시간이 80% 증가합니다,840112,08,044
081045,80110426,부식,1,26017,0,0,0.0196078431,80120549,부식성을 높여 DOT 틱당 데미지가 60% 증가합니다,840113,08,045
081046,80110427,집중,1,26018,0,0,0.0196078431,80120550,마력을 한 점에 집중시켜 범위 -30% 대신 데미지 50% 증가,840114,08,046
081047,80110428,연쇄 폭발,1,26019,0,0,0.0196078431,80120551,함정과 지뢰가 폭발 시 3회 연쇄 반응을 일으킵니다,840115,08,047
081048,80110429,은폐 설치,1,26020,0,0,0.0196078431,80120552,은밀하게 설치하여 시전시간 60% 감소 및 데미지 20% 증가,840116,08,048
081049,80110430,처형,1,26021,0,0,0.0196078431,80120553,적의 체력이 30% 이하일 때 80% 추가 데미지,840117,08,049
081050,80110431,집중력,1,26022,0,0,0.0196078431,80120554,채널링 지속시간 50% 증가 및 데미지 20% 증가,840118,08,050
081051,80110432,약화,1,26023,0,0,0.0196078431,80120555,디버프의 효과량이 50% 증가합니다,840119,08,051
