Reward_ID,Item_ID,Min_Count,Max_Count,Probability,Is_Fixed
09085,1602,81,91,1,1
09086,1602,83,93,1,1
09087,1602,86,96,1,1
09088,1602,88,98,1,1
09089,1602,90,100,1,1
09090,1602,93,103,1,1
09091,1602,95,105,1,1
09092,1603,1,1,0.1,0
09093,1603,1,1,0.15,0
09094,1603,1,1,0.2,0
09095,0,0,0,0,0
09096,0,0,0,0,0
09097,0,0,0,0,0
09098,0,0,0,0,0
09099,0,0,0,0,0
09100,10101,3,6,0.7,0
09101,10102,2,5,0.2,0
09102,10103,2,4,0.07,0
09103,10104,2,3,0.025,0
09104,10105,1,2,0.005,0
09105,10106,1,3,1,1
09106,10207,1,2,1,1
09107,10208,1,2,1,1
09108,10209,1,2,1,1
09109,10210,1,2,1,1
09110,10211,1,2,1,1
09111,10313,1,2,1,1
09112,10114,1,2,1,1
09113,1601,2000,5000,1,1
09114,1601,200,200,1,1
09115,1601,300,300,1,1
09116,1601,400,400,1,1
09117,1601,500,500,1,1
09118,1601,700,700,1,1
09119,1601,800,800,1,1
09120,1601,900,900,1,1
09121,1601,1000,1000,1,1
09122,1601,1100,1100,1,1
09123,1601,1200,1200,1,1
09124,1601,1300,1300,1,1
09125,1601,1400,1400,1,1
09126,1601,1500,1500,1,1
09127,1601,1600,1600,1,1
09128,1601,1700,1700,1,1
09129,1601,1800,1800,1,1
09130,1601,1900,1900,1,1
09131,1601,2000,2000,1,1
09132,1601,2500,2500,1,1
09133,1601,3000,3000,1,1
09134,10106,1,1,1,1
09135,10106,2,2,1,1
09136,10106,5,5,1,1
09137,10114,1,1,1,1
09138,10114,2,2,1,1
09139,10114,3,3,1,1
09140,1604,5,5,1,1
09141,1604,15,15,1,1
09142,1604,30,30,1,1
09143,1603,1,1,1,1
09144,1603,2,2,1,1
09145,1603,3,3,1,1
09146,1603,5,5,1,1
09147,1603,10,10,1,1
09148,10212,1,1,1,1
09149,0,0,0,0,0
09150,0,0,0,0,0
09151,0,0,0,0,0
09152,0,0,0,0,0
09153,0,0,0,0,0
09154,0,0,0,0,0
09155,0,0,0,0,0
09156,0,0,0,0,0
09157,0,0,0,0,0
09158,0,0,0,0,0
09159,0,0,0,0,0
09160,0,0,0,0,0
09161,0,0,0,0,0
09162,0,0,0,0,0
09163,0,0,0,0,0
09164,1605,60,60,1,1
09165,1605,260,260,1,1
09166,1605,500,500,1,1
09167,1605,1000,1000,1,1
09168,1605,1350,1350,1,1
09169,1605,2840,2840,1,1
09170,1601,14000,14000,1,1
09171,1601,52000,52000,1,1
09172,1601,112000,112000,1,1
09173,1601,224000,224000,1,1
09174,1601,300000,300000,1,1
09175,1601,580000,580000,1,1
09176,1607,13,13,1,1
09177,1607,42,42,1,1
09178,1607,100,100,1,1
09179,1607,156,156,1,1
09180,1607,258,258,1,1
09181,1607,504,504,1,1
09182,1604,40,40,1,1
09183,1604,140,140,1,1
09184,1604,260,260,1,1
09185,1604,420,420,1,1
09186,1604,700,700,1,1
09187,1604,1400,1400,1,1
09188,10215,2,2,1,1
09189,10216,2,2,1,1
09190,10217,2,2,1,1
09191,10218,2,2,1,1
09192,10219,2,2,1,1
09193,10220,2,2,1,1
09194,10221,2,2,1,1
09195,10222,2,2,1,1
09196,10223,2,2,1,1
09197,10224,2,2,1,1
09198,10225,2,2,1,1
09199,10226,2,2,1,1
09200,10227,2,2,1,1
09201,10228,2,2,1,1
09202,10229,2,2,1,1
09203,10230,2,2,1,1
09204,10231,2,2,1,1
09205,10232,2,2,1,1
09206,10233,2,2,1,1
09207,10234,2,2,1,1
09208,10215,3,3,1,1
09209,10216,3,3,1,1
09210,10217,3,3,1,1
09211,10218,3,3,1,1
09212,10219,3,3,1,1
09213,10220,3,3,1,1
09214,10221,3,3,1,1
09215,10222,3,3,1,1
09216,10223,3,3,1,1
09217,10224,3,3,1,1
09218,10225,3,3,1,1
09219,10226,3,3,1,1
09220,10227,3,3,1,1
09221,10228,3,3,1,1
09222,10229,3,3,1,1
09223,10230,3,3,1,1
09224,10231,3,3,1,1
09225,10232,3,3,1,1
09226,10233,3,3,1,1
09227,10234,3,3,1,1
09228,10207,10,10,1,1
09229,10208,10,10,1,1
09230,10209,10,10,1,1
09231,10210,10,10,1,1
09232,10211,10,10,1,1
09233,10212,1,1,1,1
09234,1601,20000,20000,1,1
09235,1601,40000,40000,1,1
09236,1605,20,20,1,1
09237,1605,30,30,1,1
09238,1605,120,120,1,1
09239,1605,200,200,1,1
09240,1605,500,500,1,1
09241,1607,10,10,1,1
09242,1607,20,20,1,1
09243,1607,30,30,1,1
09244,1607,50,50,1,1
09245,1604,20,20,1,1
09246,1604,50,50,1,1
09247,1604,12,12,1,1
09248,1605,15,15,1,1
09249,1601,500,500,1,1
09250,1601,5000,5000,1,1
09251,1601,10000,10000,1,1
09252,1601,5000,5000,1,1
09253,10101,5,5,1,1
09254,10106,2,2,1,1
09255,1601,6000,6000,1,1
09256,10102,3,3,1,1
09257,10106,2,2,1,1
09258,1601,7000,7000,1,1
09259,10102,3,3,1,1
09260,10106,2,2,1,1
09261,1601,8000,8000,1,1
09262,10103,2,2,1,1
09263,10114,1,1,1,1
09264,1601,12000,12000,1,1
09265,1605,30,30,1,1
09266,1603,20,20,1,1
09267,1601,10000,10000,1,1
09268,10103,2,2,1,1
09269,10212,1,1,1,1
09270,1601,11000,11000,1,1
09271,10104,1,1,1,1
09272,10106,2,2,1,1
09273,1601,12000,12000,1,1
09274,10104,1,1,1,1
09275,10313,1,1,1,1
09276,1601,13000,13000,1,1
09277,10105,1,1,1,1
09278,10114,1,1,1,1
09279,1601,18000,18000,1,1
09280,1605,20,20,1,1
09281,1604,50,50,1,1
